County,INCITS,2013 Pop,2010 Census
Adams,8001,"469,193","441,603"
Alamosa,8003,"16,253","15,445"
Arapahoe,8005,"607,070","572,003"
Archuleta,8007,"12,194","12,084"
Baca,8009,"3,682","3,788"
Bent,8011,"5,688","6,499"
Boulder,8013,"310,048","294,567"
Broomfield,8014,"59,471","55,889"
Chaffee,8015,"18,510","17,809"
Cheyenne,8017,"1,890","1,836"
Clear Creek,8019,"9,031","9,088"
Conejos,8021,"8,277","8,256"
Costilla,8023,"3,518","3,524"
Crowley,8025,"5,322","5,823"
Custer,8027,"4,285","4,255"
Delta,8029,"30,483","30,952"
Denver,8031,"649,495","600,158"
Dolores,8033,"2,029","2,064"
Douglas,8035,"305,963","285,465"
Eagle,8037,"52,460","52,197"
El Paso,8041,"655,044","622,263"
Elbert,8039,"23,733","23,086"
Fremont,8043,"46,451","46,824"
Garfield,8045,"57,302","56,389"
Gilpin,8047,"5,601","5,441"
Grand,8049,"14,289","14,843"
Gunnison,8051,"15,507","15,324"
Hinsdale,8053,813,843
Huerfano,8055,"6,519","6,711"
Jackson,8057,"1,365","1,394"
Jefferson,8059,"551,798","534,543"
Kiowa,8061,"1,423","1,398"
Kit Carson,8063,"8,037","8,270"
La Plata,8067,"53,284","51,334"
Lake,8065,"7,306","7,310"
Larimer,8069,"315,988","299,630"
Las Animas,8071,"14,446","15,507"
Lincoln,8073,"5,430","5,467"
Logan,8075,"22,450","22,709"
Mesa,8077,"147,554","146,723"
Mineral,8079,721,712
Moffat,8081,"13,103","13,795"
Montezuma,8083,"25,642","25,535"
Montrose,8085,"40,713","41,276"
Morgan,8087,"28,404","28,159"
Otero,8089,"18,703","18,831"
Ouray,8091,"4,557","4,436"
Park,8093,"16,121","16,206"
Phillips,8095,"4,356","4,442"
Pitkin,8097,"17,379","17,148"
Prowers,8099,"12,291","12,551"
Pueblo,8101,"161,451","159,063"
Rio Blanco,8103,"6,807","6,666"
Rio Grande,8105,"11,803","11,982"
Routt,8107,"23,513","23,509"
Saguache,8109,"6,208","6,108"
San Juan,8111,692,699
San Miguel,8113,"7,678","7,359"
Sedgwick,8115,"2,360","2,379"
Summit,8117,"28,649","27,994"
Teller,8119,"23,275","23,350"
Washington,8121,"4,803","4,814"
Weld,8123,"269,785","252,825"
Yuma,8125,"10,151","10,043"
