Month,Medical,Retail,Total
Jan 2014,32541720,14022213,46563933
Feb 2014,31738572,14248473,45987045
Mar 2014,34821878,19881631,54703509
Apr 2014,32686869,20765986,53452855
May 2014,31355208,21375001,52730209
Jun 2014,29950309,23978082,53928391
Jul 2014,31137623,29866792,61004415
Aug 2014,33912226,33520608,67432834
Sep 2014,32721238,30345357,63066595
Oct 2014,31779216,31185985,62965201
Nov 2014,28978462,29470126,58448588
Dec 2014,28660719,34579445,63240164
Jan 2015,30181833,37224033,67405866
Feb 2015,29066073,35843189,64909262
Mar 2015,32820548,42952626,75773174
Apr 2015,32878517,43832944,76711461
May 2015,33609116,44590853,78199969
Jun 2015,34552396,46460218,81012614
Jul 2015,40611139,55315111,95926250
Aug 2015,40819368,57679482,98498850
Sep 2015,39991813,53639366,93631179
Oct 2015,36742780,54467764,91210544
Nov 2015,30770436,49453755,80224191
Dec 2015,36010893,56077002,92087895
Jan 2016,32860544,55896018,88756562
Feb 2016,34019234,57045314,91064548
Mar 2016,38116173,65121388,103237561
Apr 2016,38294503,63841328,102135831
May 2016,37636295,63831071,101467366
Jun 2016,38177550,67881863,106059413
Jul 2016,40129985,81478447,121608432
Aug 2016,41056948,84055363,125112311
Sep 2016,39672483,86137409,125809892
Oct 2016,35940555,80695313,116635868
Nov 2016,34839439,74382892,109222331
Dec 2016,34872353,81221005,116093358
Jan 2017,31712608,76018423,107731031
Feb 2017,31074413,75665966,106740379
Mar 2017,37451683,92912147,130363830
Apr 2017,38049392,86223281,124272673
May 2017,36521894,87012525,123534419
Jun 2017,36125578,92825639,128951217
Jul 2017,35256994,101037453,136294447
Aug 2017,36921075,101548082,138469157
Sep 2017,35518033,100280636,135798669
Oct 2017,34082247,93623919,127706166
Nov 2017,31878468,87689309,119567777
Dec 2017,31924397,96348057,128272454
Jan 2018,29263308,88729914,117993222
Feb 2018,26640302,85869215,112509517
Mar 2018,29238678,105945278,135183956
Apr 2018,27019073,97290806,124309879
May 2018,26225775,96642441,122868216
Jun 2018,27096966,102426064,129523030
Jul 2018,27239015,111296569,138535584
Aug 2018,28323863,112998245,141322108
Sep 2018,27897573,107638880,135536453
Oct 2018,27919377,101305394,129224771
Nov 2018,26062807,97877084,123939891
Dec 2018,29246755,105497699,134744454
Jan 2019,25680596,99193678,124874274
Feb 2019,24082927,95324933,119407860
Mar 2019,28097865,114317739,142415604
Apr 2019,27943394,107938775,135882169
May 2019,29446360,113660919,143107279
Jun 2019,29653362,122372729,152026091
